system:index,count,pixel_id,.geo
+722+562,1,40044379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,40.00450187956549],[-122.15999994985162,40.00450187956549],[-122.15999994985162,40.08450187956549],[-122.23999994985164,40.08450187956549],[-122.23999994985164,40.00450187956549]]]}"
+722+563,1,39964379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.92450187956549],[-122.15999994985162,39.92450187956549],[-122.15999994985162,40.00450187956549],[-122.23999994985164,40.00450187956549],[-122.23999994985164,39.92450187956549]]]}"
+722+564,1,39884379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.844501879565485],[-122.15999994985162,39.844501879565485],[-122.15999994985162,39.92450187956549],[-122.23999994985164,39.92450187956549],[-122.23999994985164,39.844501879565485]]]}"
+722+565,1,39804379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.764501879565486],[-122.15999994985162,39.764501879565486],[-122.15999994985162,39.844501879565485],[-122.23999994985164,39.844501879565485],[-122.23999994985164,39.764501879565486]]]}"
+722+566,1,39724379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.68450187956549],[-122.15999994985162,39.68450187956549],[-122.15999994985162,39.764501879565486],[-122.23999994985164,39.764501879565486],[-122.23999994985164,39.68450187956549]]]}"
+722+567,1,39644379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.60450187956549],[-122.15999994985162,39.60450187956549],[-122.15999994985162,39.68450187956549],[-122.23999994985164,39.68450187956549],[-122.23999994985164,39.60450187956549]]]}"
+722+568,1,39564379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.524501879565484],[-122.15999994985162,39.524501879565484],[-122.15999994985162,39.60450187956549],[-122.23999994985164,39.60450187956549],[-122.23999994985164,39.524501879565484]]]}"
+722+569,1,39484379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.444501879565486],[-122.15999994985162,39.444501879565486],[-122.15999994985162,39.524501879565484],[-122.23999994985164,39.524501879565484],[-122.23999994985164,39.444501879565486]]]}"
+722+570,1,39404379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.36450187956549],[-122.15999994985162,39.36450187956549],[-122.15999994985162,39.444501879565486],[-122.23999994985164,39.444501879565486],[-122.23999994985164,39.36450187956549]]]}"
+722+571,1,39324379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.28450187956549],[-122.15999994985162,39.28450187956549],[-122.15999994985162,39.36450187956549],[-122.23999994985164,39.36450187956549],[-122.23999994985164,39.28450187956549]]]}"
+722+572,1,39244379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.204501879565484],[-122.15999994985162,39.204501879565484],[-122.15999994985162,39.28450187956549],[-122.23999994985164,39.28450187956549],[-122.23999994985164,39.204501879565484]]]}"
+722+573,1,39164379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.124501879565486],[-122.15999994985162,39.124501879565486],[-122.15999994985162,39.204501879565484],[-122.23999994985164,39.204501879565484],[-122.23999994985164,39.124501879565486]]]}"
+722+574,1,39084379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,39.04450187956549],[-122.15999994985162,39.04450187956549],[-122.15999994985162,39.124501879565486],[-122.23999994985164,39.124501879565486],[-122.23999994985164,39.04450187956549]]]}"
+722+575,1,39004379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,38.96450187956549],[-122.15999994985162,38.96450187956549],[-122.15999994985162,39.04450187956549],[-122.23999994985164,39.04450187956549],[-122.23999994985164,38.96450187956549]]]}"
+723+562,1,40044379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,40.00450187956549],[-122.07999994985163,40.00450187956549],[-122.07999994985163,40.08450187956549],[-122.15999994985162,40.08450187956549],[-122.15999994985162,40.00450187956549]]]}"
+723+563,1,39964379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.92450187956549],[-122.07999994985163,39.92450187956549],[-122.07999994985163,40.00450187956549],[-122.15999994985162,40.00450187956549],[-122.15999994985162,39.92450187956549]]]}"
+723+564,1,39884379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.844501879565485],[-122.07999994985163,39.844501879565485],[-122.07999994985163,39.92450187956549],[-122.15999994985162,39.92450187956549],[-122.15999994985162,39.844501879565485]]]}"
+723+565,1,39804379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.764501879565486],[-122.07999994985163,39.764501879565486],[-122.07999994985163,39.844501879565485],[-122.15999994985162,39.844501879565485],[-122.15999994985162,39.764501879565486]]]}"
+723+566,1,39724379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.68450187956549],[-122.07999994985163,39.68450187956549],[-122.07999994985163,39.764501879565486],[-122.15999994985162,39.764501879565486],[-122.15999994985162,39.68450187956549]]]}"
+723+567,1,39644379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.60450187956549],[-122.07999994985163,39.60450187956549],[-122.07999994985163,39.68450187956549],[-122.15999994985162,39.68450187956549],[-122.15999994985162,39.60450187956549]]]}"
+723+568,1,39564379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.524501879565484],[-122.07999994985163,39.524501879565484],[-122.07999994985163,39.60450187956549],[-122.15999994985162,39.60450187956549],[-122.15999994985162,39.524501879565484]]]}"
+723+569,1,39484379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.444501879565486],[-122.07999994985163,39.444501879565486],[-122.07999994985163,39.524501879565484],[-122.15999994985162,39.524501879565484],[-122.15999994985162,39.444501879565486]]]}"
+723+570,1,39404379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.36450187956549],[-122.07999994985163,39.36450187956549],[-122.07999994985163,39.444501879565486],[-122.15999994985162,39.444501879565486],[-122.15999994985162,39.36450187956549]]]}"
+723+571,1,39324379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.28450187956549],[-122.07999994985163,39.28450187956549],[-122.07999994985163,39.36450187956549],[-122.15999994985162,39.36450187956549],[-122.15999994985162,39.28450187956549]]]}"
+723+572,1,39244379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.204501879565484],[-122.07999994985163,39.204501879565484],[-122.07999994985163,39.28450187956549],[-122.15999994985162,39.28450187956549],[-122.15999994985162,39.204501879565484]]]}"
+723+573,1,39164379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.124501879565486],[-122.07999994985163,39.124501879565486],[-122.07999994985163,39.204501879565484],[-122.15999994985162,39.204501879565484],[-122.15999994985162,39.124501879565486]]]}"
+723+574,1,39084379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,39.04450187956549],[-122.07999994985163,39.04450187956549],[-122.07999994985163,39.124501879565486],[-122.15999994985162,39.124501879565486],[-122.15999994985162,39.04450187956549]]]}"
+723+575,1,39004379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,38.96450187956549],[-122.07999994985163,38.96450187956549],[-122.07999994985163,39.04450187956549],[-122.15999994985162,39.04450187956549],[-122.15999994985162,38.96450187956549]]]}"
+723+576,1,38924379759565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.15999994985162,38.884501879565484],[-122.07999994985163,38.884501879565484],[-122.07999994985163,38.96450187956549],[-122.15999994985162,38.96450187956549],[-122.15999994985162,38.884501879565484]]]}"
+724+563,1,39964379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.92450187956549],[-121.99999994985163,39.92450187956549],[-121.99999994985163,40.00450187956549],[-122.07999994985163,40.00450187956549],[-122.07999994985163,39.92450187956549]]]}"
+724+564,1,39884379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.844501879565485],[-121.99999994985163,39.844501879565485],[-121.99999994985163,39.92450187956549],[-122.07999994985163,39.92450187956549],[-122.07999994985163,39.844501879565485]]]}"
+724+565,1,39804379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.764501879565486],[-121.99999994985163,39.764501879565486],[-121.99999994985163,39.844501879565485],[-122.07999994985163,39.844501879565485],[-122.07999994985163,39.764501879565486]]]}"
+724+566,1,39724379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.68450187956549],[-121.99999994985163,39.68450187956549],[-121.99999994985163,39.764501879565486],[-122.07999994985163,39.764501879565486],[-122.07999994985163,39.68450187956549]]]}"
+724+567,1,39644379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.60450187956549],[-121.99999994985163,39.60450187956549],[-121.99999994985163,39.68450187956549],[-122.07999994985163,39.68450187956549],[-122.07999994985163,39.60450187956549]]]}"
+724+568,1,39564379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.524501879565484],[-121.99999994985163,39.524501879565484],[-121.99999994985163,39.60450187956549],[-122.07999994985163,39.60450187956549],[-122.07999994985163,39.524501879565484]]]}"
+724+569,1,39484379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.444501879565486],[-121.99999994985163,39.444501879565486],[-121.99999994985163,39.524501879565484],[-122.07999994985163,39.524501879565484],[-122.07999994985163,39.444501879565486]]]}"
+724+570,1,39404379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.36450187956549],[-121.99999994985163,39.36450187956549],[-121.99999994985163,39.444501879565486],[-122.07999994985163,39.444501879565486],[-122.07999994985163,39.36450187956549]]]}"
+724+571,1,39324379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.28450187956549],[-121.99999994985163,39.28450187956549],[-121.99999994985163,39.36450187956549],[-122.07999994985163,39.36450187956549],[-122.07999994985163,39.28450187956549]]]}"
+724+572,1,39244379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.204501879565484],[-121.99999994985163,39.204501879565484],[-121.99999994985163,39.28450187956549],[-122.07999994985163,39.28450187956549],[-122.07999994985163,39.204501879565484]]]}"
+724+573,1,39164379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.124501879565486],[-121.99999994985163,39.124501879565486],[-121.99999994985163,39.204501879565484],[-122.07999994985163,39.204501879565484],[-122.07999994985163,39.124501879565486]]]}"
+724+574,1,39084379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,39.04450187956549],[-121.99999994985163,39.04450187956549],[-121.99999994985163,39.124501879565486],[-122.07999994985163,39.124501879565486],[-122.07999994985163,39.04450187956549]]]}"
+724+575,1,39004379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,38.96450187956549],[-121.99999994985163,38.96450187956549],[-121.99999994985163,39.04450187956549],[-122.07999994985163,39.04450187956549],[-122.07999994985163,38.96450187956549]]]}"
+724+576,1,38924379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,38.884501879565484],[-121.99999994985163,38.884501879565484],[-121.99999994985163,38.96450187956549],[-122.07999994985163,38.96450187956549],[-122.07999994985163,38.884501879565484]]]}"
+724+577,1,38844379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,38.804501879565485],[-121.99999994985163,38.804501879565485],[-121.99999994985163,38.884501879565484],[-122.07999994985163,38.884501879565484],[-122.07999994985163,38.804501879565485]]]}"
+724+578,1,38764379839565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.07999994985163,38.72450187956549],[-121.99999994985163,38.72450187956549],[-121.99999994985163,38.804501879565485],[-122.07999994985163,38.804501879565485],[-122.07999994985163,38.72450187956549]]]}"
+725+564,1,39884379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,39.844501879565485],[-121.91999994985163,39.844501879565485],[-121.91999994985163,39.92450187956549],[-121.99999994985163,39.92450187956549],[-121.99999994985163,39.844501879565485]]]}"
+725+565,1,39804379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,39.764501879565486],[-121.91999994985163,39.764501879565486],[-121.91999994985163,39.844501879565485],[-121.99999994985163,39.844501879565485],[-121.99999994985163,39.764501879565486]]]}"
+725+566,1,39724379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,39.68450187956549],[-121.91999994985163,39.68450187956549],[-121.91999994985163,39.764501879565486],[-121.99999994985163,39.764501879565486],[-121.99999994985163,39.68450187956549]]]}"
+725+567,1,39644379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,39.60450187956549],[-121.91999994985163,39.60450187956549],[-121.91999994985163,39.68450187956549],[-121.99999994985163,39.68450187956549],[-121.99999994985163,39.60450187956549]]]}"
+725+568,1,39564379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,39.524501879565484],[-121.91999994985163,39.524501879565484],[-121.91999994985163,39.60450187956549],[-121.99999994985163,39.60450187956549],[-121.99999994985163,39.524501879565484]]]}"
+725+569,1,39484379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,39.444501879565486],[-121.91999994985163,39.444501879565486],[-121.91999994985163,39.524501879565484],[-121.99999994985163,39.524501879565484],[-121.99999994985163,39.444501879565486]]]}"
+725+570,1,39404379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,39.36450187956549],[-121.91999994985163,39.36450187956549],[-121.91999994985163,39.444501879565486],[-121.99999994985163,39.444501879565486],[-121.99999994985163,39.36450187956549]]]}"
+725+571,1,39324379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,39.28450187956549],[-121.91999994985163,39.28450187956549],[-121.91999994985163,39.36450187956549],[-121.99999994985163,39.36450187956549],[-121.99999994985163,39.28450187956549]]]}"
+725+572,1,39244379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,39.204501879565484],[-121.91999994985163,39.204501879565484],[-121.91999994985163,39.28450187956549],[-121.99999994985163,39.28450187956549],[-121.99999994985163,39.204501879565484]]]}"
+725+573,1,39164379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,39.124501879565486],[-121.91999994985163,39.124501879565486],[-121.91999994985163,39.204501879565484],[-121.99999994985163,39.204501879565484],[-121.99999994985163,39.124501879565486]]]}"
+725+574,1,39084379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,39.04450187956549],[-121.91999994985163,39.04450187956549],[-121.91999994985163,39.124501879565486],[-121.99999994985163,39.124501879565486],[-121.99999994985163,39.04450187956549]]]}"
+725+575,1,39004379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,38.96450187956549],[-121.91999994985163,38.96450187956549],[-121.91999994985163,39.04450187956549],[-121.99999994985163,39.04450187956549],[-121.99999994985163,38.96450187956549]]]}"
+725+576,1,38924379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,38.884501879565484],[-121.91999994985163,38.884501879565484],[-121.91999994985163,38.96450187956549],[-121.99999994985163,38.96450187956549],[-121.99999994985163,38.884501879565484]]]}"
+725+577,1,38844379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,38.804501879565485],[-121.91999994985163,38.804501879565485],[-121.91999994985163,38.884501879565484],[-121.99999994985163,38.884501879565484],[-121.99999994985163,38.804501879565485]]]}"
+725+578,1,38764379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,38.72450187956549],[-121.91999994985163,38.72450187956549],[-121.91999994985163,38.804501879565485],[-121.99999994985163,38.804501879565485],[-121.99999994985163,38.72450187956549]]]}"
+725+579,1,38684379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,38.64450187956549],[-121.91999994985163,38.64450187956549],[-121.91999994985163,38.72450187956549],[-121.99999994985163,38.72450187956549],[-121.99999994985163,38.64450187956549]]]}"
+725+580,1,38604379919565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.99999994985163,38.56450187956548],[-121.91999994985163,38.56450187956548],[-121.91999994985163,38.64450187956549],[-121.99999994985163,38.64450187956549],[-121.99999994985163,38.56450187956548]]]}"
+726+565,1,39804379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,39.764501879565486],[-121.83999994985163,39.764501879565486],[-121.83999994985163,39.844501879565485],[-121.91999994985163,39.844501879565485],[-121.91999994985163,39.764501879565486]]]}"
+726+566,1,39724379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,39.68450187956549],[-121.83999994985163,39.68450187956549],[-121.83999994985163,39.764501879565486],[-121.91999994985163,39.764501879565486],[-121.91999994985163,39.68450187956549]]]}"
+726+567,1,39644379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,39.60450187956549],[-121.83999994985163,39.60450187956549],[-121.83999994985163,39.68450187956549],[-121.91999994985163,39.68450187956549],[-121.91999994985163,39.60450187956549]]]}"
+726+568,1,39564379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,39.524501879565484],[-121.83999994985163,39.524501879565484],[-121.83999994985163,39.60450187956549],[-121.91999994985163,39.60450187956549],[-121.91999994985163,39.524501879565484]]]}"
+726+569,1,39484379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,39.444501879565486],[-121.83999994985163,39.444501879565486],[-121.83999994985163,39.524501879565484],[-121.91999994985163,39.524501879565484],[-121.91999994985163,39.444501879565486]]]}"
+726+570,1,39404379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,39.36450187956549],[-121.83999994985163,39.36450187956549],[-121.83999994985163,39.444501879565486],[-121.91999994985163,39.444501879565486],[-121.91999994985163,39.36450187956549]]]}"
+726+571,1,39324379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,39.28450187956549],[-121.83999994985163,39.28450187956549],[-121.83999994985163,39.36450187956549],[-121.91999994985163,39.36450187956549],[-121.91999994985163,39.28450187956549]]]}"
+726+572,1,39244379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,39.204501879565484],[-121.83999994985163,39.204501879565484],[-121.83999994985163,39.28450187956549],[-121.91999994985163,39.28450187956549],[-121.91999994985163,39.204501879565484]]]}"
+726+573,1,39164379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,39.124501879565486],[-121.83999994985163,39.124501879565486],[-121.83999994985163,39.204501879565484],[-121.91999994985163,39.204501879565484],[-121.91999994985163,39.124501879565486]]]}"
+726+574,1,39084379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,39.04450187956549],[-121.83999994985163,39.04450187956549],[-121.83999994985163,39.124501879565486],[-121.91999994985163,39.124501879565486],[-121.91999994985163,39.04450187956549]]]}"
+726+575,1,39004379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,38.96450187956549],[-121.83999994985163,38.96450187956549],[-121.83999994985163,39.04450187956549],[-121.91999994985163,39.04450187956549],[-121.91999994985163,38.96450187956549]]]}"
+726+576,1,38924379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,38.884501879565484],[-121.83999994985163,38.884501879565484],[-121.83999994985163,38.96450187956549],[-121.91999994985163,38.96450187956549],[-121.91999994985163,38.884501879565484]]]}"
+726+577,1,38844379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,38.804501879565485],[-121.83999994985163,38.804501879565485],[-121.83999994985163,38.884501879565484],[-121.91999994985163,38.884501879565484],[-121.91999994985163,38.804501879565485]]]}"
+726+578,1,38764379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,38.72450187956549],[-121.83999994985163,38.72450187956549],[-121.83999994985163,38.804501879565485],[-121.91999994985163,38.804501879565485],[-121.91999994985163,38.72450187956549]]]}"
+726+579,1,38684379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,38.64450187956549],[-121.83999994985163,38.64450187956549],[-121.83999994985163,38.72450187956549],[-121.91999994985163,38.72450187956549],[-121.91999994985163,38.64450187956549]]]}"
+726+580,1,38604379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,38.56450187956548],[-121.83999994985163,38.56450187956548],[-121.83999994985163,38.64450187956549],[-121.91999994985163,38.64450187956549],[-121.91999994985163,38.56450187956548]]]}"
+726+581,1,38524379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,38.484501879565485],[-121.83999994985163,38.484501879565485],[-121.83999994985163,38.56450187956548],[-121.91999994985163,38.56450187956548],[-121.91999994985163,38.484501879565485]]]}"
+726+582,1,38444379999565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.91999994985163,38.40450187956549],[-121.83999994985163,38.40450187956549],[-121.83999994985163,38.484501879565485],[-121.91999994985163,38.484501879565485],[-121.91999994985163,38.40450187956549]]]}"
+727+567,1,39644380079565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.83999994985163,39.60450187956549],[-121.75999994985162,39.60450187956549],[-121.75999994985162,39.68450187956549],[-121.83999994985163,39.68450187956549],[-121.83999994985163,39.60450187956549]]]}"
+727+568,1,39564380079565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.83999994985163,39.524501879565484],[-121.75999994985162,39.524501879565484],[-121.75999994985162,39.60450187956549],[-121.83999994985163,39.60450187956549],[-121.83999994985163,39.524501879565484]]]}"
+727+569,1,39484380079565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.83999994985163,39.444501879565486],[-121.75999994985162,39.444501879565486],[-121.75999994985162,39.524501879565484],[-121.83999994985163,39.524501879565484],[-121.83999994985163,39.444501879565486]]]}"
+727+570,1,39404380079565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.83999994985163,39.36450187956549],[-121.75999994985162,39.36450187956549],[-121.75999994985162,39.444501879565486],[-121.83999994985163,39.444501879565486],[-121.83999994985163,39.36450187956549]]]}"
+727+571,1,39324380079565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.83999994985163,39.28450187956549],[-121.75999994985162,39.28450187956549],[-121.75999994985162,39.36450187956549],[-121.83999994985163,39.36450187956549],[-121.83999994985163,39.28450187956549]]]}"
+727+572,1,39244380079565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.83999994985163,39.204501879565484],[-121.75999994985162,39.204501879565484],[-121.75999994985162,39.28450187956549],[-121.83999994985163,39.28450187956549],[-121.83999994985163,39.204501879565484]]]}"
+727+573,1,39164380079565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.83999994985163,39.124501879565486],[-121.75999994985162,39.124501879565486],[-121.75999994985162,39.204501879565484],[-121.83999994985163,39.204501879565484],[-121.83999994985163,39.124501879565486]]]}"
+727+574,1,39084380079565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.83999994985163,39.04450187956549],[-121.75999994985162,39.04450187956549],[-121.75999994985162,39.124501879565486],[-121.83999994985163,39.124501879565486],[-121.83999994985163,39.04450187956549]]]}"
+727+575,1,39004380079565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.83999994985163,38.96450187956549],[-121.75999994985162,38.96450187956549],[-121.75999994985162,39.04450187956549],[-121.83999994985163,39.04450187956549],[-121.83999994985163,38.96450187956549]]]}"
+727+576,1,38924380079565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.83999994985163,38.884501879565484],[-121.75999994985162,38.884501879565484],[-121.75999994985162,38.96450187956549],[-121.83999994985163,38.96450187956549],[-121.83999994985163,38.884501879565484]]]}"
